env_id,variant,seed,global_step,return_20k_window
HalfCheetah-v5,clip0.1,3,280000,904.2
HalfCheetah-v5,clip0.1,3,290000,861.5
HalfCheetah-v5,clip0.1,3,300000,906.4
HalfCheetah-v5,clip0.1,3,310000,1004
HalfCheetah-v5,clip0.1,3,320000,997.6
HalfCheetah-v5,clip0.1,3,330000,1023
HalfCheetah-v5,clip0.1,3,340000,1077
HalfCheetah-v5,clip0.1,3,350000,1099
HalfCheetah-v5,clip0.1,3,360000,1113
HalfCheetah-v5,clip0.1,3,370000,1134
HalfCheetah-v5,clip0.1,3,380000,1141
HalfCheetah-v5,clip0.1,3,390000,1157
HalfCheetah-v5,clip0.1,3,400000,1191
HalfCheetah-v5,clip0.1,3,410000,1195
HalfCheetah-v5,clip0.1,3,420000,1216
HalfCheetah-v5,clip0.1,3,430000,1256
HalfCheetah-v5,clip0.1,3,440000,1250
HalfCheetah-v5,clip0.1,3,450000,1248
HalfCheetah-v5,clip0.1,3,460000,1266
HalfCheetah-v5,clip0.1,3,470000,1270
HalfCheetah-v5,clip0.1,3,480000,1286
HalfCheetah-v5,clip0.1,3,490000,1302
HalfCheetah-v5,clip0.1,3,500000,1283
HalfCheetah-v5,clip0.1,3,510000,1275
HalfCheetah-v5,clip0.1,3,520000,1321
HalfCheetah-v5,clip0.1,3,530000,1327
HalfCheetah-v5,clip0.1,3,540000,1283
HalfCheetah-v5,clip0.1,3,550000,1285
HalfCheetah-v5,clip0.1,3,560000,1322
HalfCheetah-v5,clip0.1,3,570000,1342
HalfCheetah-v5,clip0.1,3,580000,1341
HalfCheetah-v5,clip0.1,3,590000,1347
HalfCheetah-v5,clip0.1,3,600000,1369
HalfCheetah-v5,clip0.1,3,610000,1385
